hospital_id,year,month,date,total_discharges,total_charges,total_payments
H001,2023,1,2023-01-01,439,165958,101633
H001,2023,2,2023-02-01,321,104517,93696
H001,2023,3,2023-03-01,437,191940,107147
H001,2023,4,2023-04-01,520,204672,129953
H001,2023,5,2023-05-01,312,114859,77150
H001,2023,6,2023-06-01,364,135296,90173
H001,2023,7,2023-07-01,354,94183,62806
H001,2023,8,2023-08-01,287,120123,103794
H001,2023,9,2023-09-01,250,123008,96803
H001,2023,10,2023-10-01,227,135210,83588
H001,2023,11,2023-11-01,245,179885,168417
H001,2023,12,2023-12-01,425,120721,71112
H001,2024,1,2024-01-01,428,146453,87698
H001,2024,2,2024-02-01,404,101452,92699
H001,2024,3,2024-03-01,353,185944,125453
H001,2024,4,2024-04-01,410,167715,104644
H001,2024,5,2024-05-01,494,187674,173748
H001,2024,6,2024-06-01,444,154293,141756
H001,2024,7,2024-07-01,250,100164,56902
H001,2024,8,2024-08-01,279,113411,74685
H001,2024,9,2024-09-01,365,107686,71328
H001,2024,10,2024-10-01,320,88735,77277
H001,2024,11,2024-11-01,247,183908,157958
H001,2024,12,2024-12-01,294,86484,75775
H002,2023,1,2023-01-01,528,139300,96588
H002,2023,2,2023-02-01,367,286614,229096
H002,2023,3,2023-03-01,437,147122,99218
H002,2023,4,2023-04-01,427,262894,211635
H002,2023,5,2023-05-01,560,206609,123518
H002,2023,6,2023-06-01,477,237572,184002
H002,2023,7,2023-07-01,454,180919,137334
H002,2023,8,2023-08-01,352,106095,62930
H002,2023,9,2023-09-01,258,185312,125223
H002,2023,10,2023-10-01,369,226794,147351
H002,2023,11,2023-11-01,370,218993,140488
H002,2023,12,2023-12-01,315,163502,100470
H002,2024,1,2024-01-01,571,263392,211598
H002,2024,2,2024-02-01,584,276054,172431
H002,2024,3,2024-03-01,601,233163,203545
H002,2024,4,2024-04-01,591,189761,112721
H002,2024,5,2024-05-01,380,198984,174549
H002,2024,6,2024-06-01,514,119031,89784
H002,2024,7,2024-07-01,371,141400,84549
H002,2024,8,2024-08-01,332,231630,157341
H002,2024,9,2024-09-01,363,194215,135067
H002,2024,10,2024-10-01,472,234303,152463
H002,2024,11,2024-11-01,390,152857,101487
H002,2024,12,2024-12-01,305,213793,160573
H003,2023,1,2023-01-01,233,175960,166152
H003,2023,2,2023-02-01,263,212207,181362
H003,2023,3,2023-03-01,267,224498,156500
H003,2023,4,2023-04-01,336,206446,157788
H003,2023,5,2023-05-01,223,225059,152660
H003,2023,6,2023-06-01,224,104431,82120
H003,2023,7,2023-07-01,282,93644,70685
H003,2023,8,2023-08-01,200,160314,99354
H003,2023,9,2023-09-01,261,127601,117991
H003,2023,10,2023-10-01,187,125370,74643
H003,2023,11,2023-11-01,320,198791,129845
H003,2023,12,2023-12-01,302,206970,159797
H003,2024,1,2024-01-01,301,140809,82688
H003,2024,2,2024-02-01,386,246270,197814
H003,2024,3,2024-03-01,286,166938,140291
H003,2024,4,2024-04-01,386,244281,210558
H003,2024,5,2024-05-01,321,118419,72786
